Column1;Column2;Column3
ADANA_ALADA–;ADANA_›MAMO–LU;5637990634
ADANA_ALADA–;ADANA_KOZAN;7089166492
ADANA_ALADA–;ADANA_SARI«AM;8243461536
ADANA_ALADA–;ADANA_CEYHAN;840837566
ADANA_ALADA–;ADANA_MERKEZ;9268553483
ADANA_ALADA–;ADANA_SEYHAN;9407035349
ADANA_ALADA–;OSMAN›YE_KAD›RL›;9431620273
ADANA_ALADA–;ADANA_Y‹RE–›R;9451227657
ADANA_ALADA–;ADANA_«UKUROVA;9827753048
ADANA_ALADA–;OSMAN›YE_SUMBAS;1043421442
ADANA_CEYHAN;ADANA_YUMURTALIK;3111024936
ADANA_CEYHAN;OSMAN›YE_TOPRAKKALE;3351448384
ADANA_CEYHAN;ADANA_›MAMO–LU;3782923624
ADANA_CEYHAN;OSMAN›YE_MERKEZ;4311261002
ADANA_CEYHAN;ADANA_SARI«AM;4634769513
ADANA_CEYHAN;ADANA_MERKEZ;485294464
ADANA_CEYHAN;ADANA_SEYHAN;4977399426
ADANA_CEYHAN;ADANA_Y‹RE–›R;5021591735
ADANA_CEYHAN;ADANA_«UKUROVA;5398117126
ADANA_CEYHAN;HATAY_D÷RTYOL;6051318675
ADANA_«UKUROVA;ADANA_SEYHAN;4207177
ADANA_«UKUROVA;ADANA_MERKEZ;559199566
ADANA_«UKUROVA;ADANA_Y‹RE–›R;72784666
ADANA_«UKUROVA;ADANA_SARI«AM;1584291512
ADANA_«UKUROVA;MERS›N_TARSUS;363782553
ADANA_«UKUROVA;ADANA_KARA›SALI;45736006
ADANA_«UKUROVA;ADANA_›MAMO–LU;5202301012
ADANA_«UKUROVA;ADANA_CEYHAN;5398117126
ADANA_«UKUROVA;ADANA_KARATAﬁ;5427383198
ADANA_«UKUROVA;MERS›N_AKDEN›Z;6254513895
ADANA_FEKE;ADANA_SA›MBEYL›;3334443542
ADANA_FEKE;ADANA_KOZAN;4611936507
ADANA_FEKE;ADANA_TUFANBEYL›;7179337411
ADANA_FEKE;ADANA_›MAMO–LU;7312130835
ADANA_FEKE;OSMAN›YE_KAD›RL›;8621319234
ADANA_FEKE;OSMAN›YE_SUMBAS;9623913384
ADANA_FEKE;KAYSER›_YAHYALI;1018783932
ADANA_FEKE;ADANA_SARI«AM;1093014034
ADANA_FEKE;ADANA_CEYHAN;1098229648
ADANA_FEKE;KAYSER›_SARIZ;1165541884
ADANA_›MAMO–LU;ADANA_KOZAN;2700194328
ADANA_›MAMO–LU;ADANA_SARI«AM;36180095
ADANA_›MAMO–LU;ADANA_CEYHAN;3782923624
ADANA_›MAMO–LU;ADANA_MERKEZ;4643101447
ADANA_›MAMO–LU;ADANA_SEYHAN;4781583313
ADANA_›MAMO–LU;ADANA_Y‹RE–›R;4825775621
ADANA_›MAMO–LU;OSMAN›YE_KAD›RL›;5042648109
ADANA_›MAMO–LU;ADANA_«UKUROVA;5202301012
ADANA_›MAMO–LU;ADANA_ALADA–;5637990634
ADANA_›MAMO–LU;OSMAN›YE_SUMBAS;6045242259
ADANA_KARA›SALI;ADANA_«UKUROVA;45736006
ADANA_KARA›SALI;ADANA_SEYHAN;4994318299
ADANA_KARA›SALI;ADANA_MERKEZ;5132800165
ADANA_KARA›SALI;ADANA_Y‹RE–›R;530144726
ADANA_KARA›SALI;ADANA_SARI«AM;6157892112
ADANA_KARA›SALI;MERS›N_TARSUS;6507510638
ADANA_KARA›SALI;MERS›N_«AMLIYAYLA;7337106472
ADANA_KARA›SALI;ADANA_POZANTI;825030125
ADANA_KARA›SALI;MERS›N_AKDEN›Z;9124199003
ADANA_KARA›SALI;MERS›N_MERKEZ;9279647268
ADANA_KARATAﬁ;ADANA_Y‹RE–›R;4699536538
ADANA_KARATAﬁ;ADANA_MERKEZ;4882210712
ADANA_KARATAﬁ;ADANA_SEYHAN;5006665499
ADANA_KARATAﬁ;ADANA_«UKUROVA;5427383198
ADANA_KARATAﬁ;ADANA_SARI«AM;5907302659
ADANA_KARATAﬁ;MERS›N_TARSUS;9065208728
ADANA_KARATAﬁ;ADANA_›MAMO–LU;9525312159
ADANA_KARATAﬁ;ADANA_CEYHAN;9721128273
ADANA_KARATAﬁ;ADANA_KARA›SALI;100009838
ADANA_KARATAﬁ;MERS›N_AKDEN›Z;1168189709
ADANA_KOZAN;ADANA_›MAMO–LU;2700194328
ADANA_KOZAN;OSMAN›YE_KAD›RL›;4009382727
ADANA_KOZAN;ADANA_FEKE;4611936507
ADANA_KOZAN;OSMAN›YE_SUMBAS;5011976877
ADANA_KOZAN;ADANA_SARI«AM;6318203828
ADANA_KOZAN;ADANA_CEYHAN;6370359977
ADANA_KOZAN;ADANA_ALADA–;7089166492
ADANA_KOZAN;ADANA_MERKEZ;7343295775
ADANA_KOZAN;ADANA_SEYHAN;7481777641
ADANA_KOZAN;ADANA_Y‹RE–›R;7525969949
ADANA_MERKEZ;ADANA_SEYHAN;138481866
ADANA_MERKEZ;ADANA_Y‹RE–›R;182674174
ADANA_MERKEZ;ADANA_«UKUROVA;559199566
ADANA_MERKEZ;ADANA_SARI«AM;1025091947
ADANA_MERKEZ;MERS›N_TARSUS;4197025095
ADANA_MERKEZ;ADANA_›MAMO–LU;4643101447
ADANA_MERKEZ;ADANA_CEYHAN;485294464
ADANA_MERKEZ;ADANA_KARATAﬁ;4882210712
ADANA_MERKEZ;ADANA_KARA›SALI;5132800165
ADANA_MERKEZ;MERS›N_AKDEN›Z;6813713461
ADANA_POZANTI;N›–DE_ULUKIﬁLA;4296081676
ADANA_POZANTI;N›–DE_«AMARDI;525233551
ADANA_POZANTI;MERS›N_«AMLIYAYLA;7758042051
ADANA_POZANTI;N›–DE_BOR;8075742328
ADANA_POZANTI;MERS›N_TARSUS;8122895417
ADANA_POZANTI;ADANA_KARA›SALI;825030125
ADANA_POZANTI;KONYA_ERE–L›;9101700019
ADANA_POZANTI;N›–DE_MERKEZ;9105216023
ADANA_POZANTI;N›–DE_ALTUNH›SAR;102689503
ADANA_POZANTI;MERS›N_AKDEN›Z;1073958378
ADANA_SA›MBEYL›;ADANA_FEKE;3334443542
ADANA_SA›MBEYL›;ADANA_TUFANBEYL›;3844893869
ADANA_SA›MBEYL›;ADANA_KOZAN;7925578089
ADANA_SA›MBEYL›;KAYSER›_SARIZ;8320975294
ADANA_SA›MBEYL›;KAHRAMANMARAﬁ_G÷KSUN;9036716539
ADANA_SA›MBEYL›;ADANA_›MAMO–LU;1062577242
ADANA_SA›MBEYL›;KAYSER›_DEVEL›;1110136327
ADANA_SA›MBEYL›;KAYSER›_TOMARZA;1126133335
ADANA_SA›MBEYL›;KAYSER›_PINARBAﬁI;1133457645
ADANA_SA›MBEYL›;OSMAN›YE_KAD›RL›;1193496082
ADANA_SARI«AM;ADANA_MERKEZ;1025091947
ADANA_SARI«AM;ADANA_SEYHAN;1163573813
ADANA_SARI«AM;ADANA_Y‹RE–›R;1207766121
ADANA_SARI«AM;ADANA_«UKUROVA;1584291512
ADANA_SARI«AM;ADANA_›MAMO–LU;36180095
ADANA_SARI«AM;ADANA_CEYHAN;4634769513
ADANA_SARI«AM;MERS›N_TARSUS;5222117042
ADANA_SARI«AM;ADANA_KARATAﬁ;5907302659
ADANA_SARI«AM;ADANA_KARA›SALI;6157892112
ADANA_SARI«AM;ADANA_KOZAN;6318203828
ADANA_SEYHAN;ADANA_MERKEZ;138481866
ADANA_SEYHAN;ADANA_Y‹RE–›R;307128961
ADANA_SEYHAN;ADANA_«UKUROVA;4207177
ADANA_SEYHAN;ADANA_SARI«AM;1163573813
ADANA_SEYHAN;MERS›N_TARSUS;4058543229
ADANA_SEYHAN;ADANA_›MAMO–LU;4781583313
ADANA_SEYHAN;ADANA_CEYHAN;4977399426
ADANA_SEYHAN;ADANA_KARA›SALI;4994318299
ADANA_SEYHAN;ADANA_KARATAﬁ;5006665499
ADANA_SEYHAN;MERS›N_AKDEN›Z;6675231595
ADANA_TUFANBEYL›;ADANA_SA›MBEYL›;3844893869
ADANA_TUFANBEYL›;KAYSER›_SARIZ;5353299733
ADANA_TUFANBEYL›;KAHRAMANMARAﬁ_G÷KSUN;6069040978
ADANA_TUFANBEYL›;ADANA_FEKE;7179337411
ADANA_TUFANBEYL›;KAYSER›_TOMARZA;7416439485
ADANA_TUFANBEYL›;KAYSER›_PINARBAﬁI;8366900889
ADANA_TUFANBEYL›;KAYSER›_DEVEL›;1117842693
ADANA_TUFANBEYL›;KAHRAMANMARAﬁ_AFﬁ›N;1137971701
ADANA_TUFANBEYL›;ADANA_KOZAN;1177047196
ADANA_TUFANBEYL›;KAHRAMANMARAﬁ_ANDIRIN;1209777445
ADANA_YUMURTALIK;ADANA_CEYHAN;3111024936
ADANA_YUMURTALIK;OSMAN›YE_TOPRAKKALE;6287409957
ADANA_YUMURTALIK;HATAY_D÷RTYOL;6823665527
